RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,Speed_3,Speed_5,Speed_10
0.635668575763702,0.685099959373474,1.53619623184204,1.040203332901,1.60873579978943,1.78077220916748,0.882316529750824,0.913007438182831,0.848267257213593,0.824947237968445,0.885254681110382,0.925227224826813,0.934551000595093,-3.80372591532866,10.8806945761491,0,454,295,357,290,355,331,407,357,372,394,393,2.75,7.45,13.5
0.634238183498383,0.696041882038116,1.50685894489288,1.13083457946777,1.51165771484375,1.74800038337708,0.913067877292633,0.914414405822754,0.914893627166748,0.813863456249237,0.853590548038483,0.913129568099976,0.93497759103775,-2.07024606131205,9.01679043727515,0,456,323,322,305,344,342,396,371,364,402,386,2.19,7.9,7.9
0.633734405040741,0.704093456268311,1.47068428993225,1.05045092105865,1.54668128490448,1.75278854370117,0.934646964073181,0.898636341094971,0.874556720256805,0.807194173336029,0.870279788970947,0.922335982322693,0.904367983341217,-9.49440772101385,17.622386113488,0,458,312,317,283,335,327,388,350,353,385,379,0.205,2.26,3.25
0.645346939563751,0.678971171379089,1.46449410915375,1.08666932582855,1.52461051940918,1.68411707878113,0.92542177438736,0.973050117492676,0.900595605373383,0.812575399875641,0.881763100624085,0.918671429157257,0.939319550991058,3.55827555306014,5.8057569378564,0,460,292,323,275,337,319,388,343,353,380,378,3.16,1.2,7.66
0.653472602367401,0.681918799877167,1.41951251029968,1.17064988613129,1.47738575935364,1.58658289909363,0.900131404399872,0.911347508430481,0.904282927513123,0.823729753494263,0.886073231697083,0.912942409515381,0.932689785957336,3.74098744745387,14.0994487164471,0,463,285,329,259,348,306,398,325,363,361,390,0.417,2.54,16.5
0.646890163421631,0.682272076606751,1.48107469081879,1.09364461898804,1.54539978504181,1.56901943683624,0.87863039970398,0.968055546283722,0.91064840555191,0.824045717716217,0.900320708751678,0.934859573841095,0.929664731025696,1.41953793663067,11.2822009168558,0,465,279,360,255,383,305,427,324,388,364,408,0.591,0.923,25.5
0.648812830448151,0.680996239185333,1.47850739955902,1.08034181594849,1.52189540863037,1.63141787052155,0.877244651317596,0.919224560260773,0.849953413009644,0.825531780719757,0.886819183826447,0.914935946464539,0.913256227970123,0.392806254970955,7.94317123970608,0,467,279,370,258,390,307,435,329,395,367,412,1.78,3.28,30.2
0.654824674129486,0.686172485351563,1.48166990280151,1.1198410987854,1.46404588222504,1.56066083908081,0.847503364086151,0.898082733154297,0.888919770717621,0.826543390750885,0.844982326030731,0.918681740760803,0.953346848487854,1.04937829770818,2.35269694811413,0,469,268,372,251,392,302,436,321,397,362,413,2.78,3.94,31.8
0.653258621692658,0.693082690238953,1.41871047019959,1.05347752571106,1.47312414646149,1.6299763917923,0.87890625,1.01659941673279,0.882565259933472,0.821306645870209,0.873685777187347,0.921004593372345,0.945523023605347,-0.590764242203965,9.53011648726704,0,471,263,375,243,394,295,438,310,398,355,416,0.325,2.48,34.4
0.647150993347168,0.7136510014534,1.449831366539,1.06672823429108,1.48662936687469,1.5415358543396,0.906735777854919,0.956214666366577,0.92344343662262,0.83973640203476,0.88917863368988,0.91428130865097,0.9277184009552,0.448438083792069,2.25733079587247,0,473,257,370,237,389,290,433,308,396,348,413,1.5,1.92,33.7
0.646431982517242,0.72575443983078,1.41414749622345,1.04781007766724,1.45712566375732,1.45204365253449,0.915625631809235,0.937473595142365,0.910678744316101,0.827213227748871,0.866186082363129,0.915810227394104,0.925939559936523,-4.27975424688334,12.4549151409314,0,475,255,375,231,396,287,439,301,399,344,419,2.25,2.46,28.2
